crop,N,P,K,ph,recommended_fertilizer,quantity_kg_per_acre,estimated_cost_inr,organic_alternative
watermelon,52.4,55.7,43.5,6.52,Urea,61.3,398.45,Green Manure
kidneybeans,34.5,47.7,37.2,6.21,Urea,85.6,556.4,Green Manure
apple,42.3,46.8,49.9,7.6,Urea,83.8,544.7,Farmyard Manure (FYM)
lentil,58.6,19.9,4.9,6.7,MOP,123.5,2099.5,Neem Cake
cotton,44.1,29.5,44.4,6.97,Urea,86.4,561.6,Green Manure
grapes,55.5,35.2,56.7,6.08,DAP,65.7,1773.9,Farmyard Manure (FYM)
lentil,59.6,43.0,62.9,8.37,Urea,50.0,325.0,Farmyard Manure (FYM)
chickpea,84.3,39.8,57.5,5.35,DAP,41.8,1128.6,Poultry Manure
rice,98.9,39.4,18.1,5.03,MOP,75.2,1278.4,Green Manure
coffee,38.3,50.6,95.8,4.72,Urea,56.2,365.3,Compost + Biofertilizer
mothbeans,44.5,70.5,83.3,6.68,Urea,48.0,312.0,Farmyard Manure (FYM)
jute,39.3,62.7,80.0,6.45,Urea,47.7,310.05,Neem Cake
kidneybeans,26.4,57.4,91.2,7.78,Urea,53.4,347.1,Farmyard Manure (FYM)
apple,80.4,31.5,11.1,6.28,MOP,87.5,1487.5,Neem Cake
orange,79.2,55.2,80.7,7.33,NPK 19-19-19,25.3,607.2,Neem Cake
coffee,16.9,25.5,27.9,5.78,Urea,133.9,870.35,Green Manure
watermelon,53.8,60.2,34.9,6.8,Urea,66.4,431.6,Green Manure
pomegranate,57.8,9.9,30.1,6.31,DAP,118.0,3186.0,Vermicompost
coconut,24.4,51.8,73.4,5.01,Urea,81.4,529.1,Green Manure
kidneybeans,64.7,58.6,25.4,6.79,MOP,63.0,1071.0,Farmyard Manure (FYM)
maize,54.3,41.3,34.8,6.59,Urea,86.1,559.65,Green Manure
lentil,48.2,39.3,62.5,5.57,Urea,67.1,436.15,Compost + Biofertilizer
lentil,46.2,67.7,11.6,5.95,MOP,94.2,1601.4,Compost + Biofertilizer
pigeonpeas,56.6,36.5,61.5,7.86,DAP,66.1,1784.7,Neem Cake
kidneybeans,72.9,76.0,7.8,6.89,MOP,75.8,1288.6,Neem Cake
cotton,66.6,43.9,49.5,6.84,DAP,62.0,1674.0,Compost + Biofertilizer
kidneybeans,73.5,64.4,50.4,5.89,MOP,32.4,550.8,Farmyard Manure (FYM)
banana,85.9,86.3,71.2,5.57,NPK 19-19-19,15.0,360.0,Green Manure
rice,65.2,17.8,75.2,6.87,DAP,66.8,1803.6,Farmyard Manure (FYM)
rice,40.7,22.7,51.6,6.21,Urea,95.6,621.4,Compost + Biofertilizer
mungbean,39.5,54.1,16.0,6.69,MOP,99.6,1693.2,Vermicompost
maize,29.8,52.6,57.5,7.05,Urea,70.8,460.2,Poultry Manure
papaya,34.3,2.8,50.7,7.83,DAP,120.5,3253.5,Vermicompost
mango,109.1,61.7,67.8,8.01,NPK 10-26-26,26.7,614.1,Neem Cake
cotton,55.3,38.4,47.6,6.9,Urea,69.5,451.75,Neem Cake
coffee,23.1,55.4,32.0,8.13,Urea,96.2,625.3,Poultry Manure
mothbeans,84.0,73.8,35.0,7.35,MOP,47.8,812.6,Compost + Biofertilizer
watermelon,42.5,34.8,46.0,6.14,Urea,97.1,631.15,Farmyard Manure (FYM)
pigeonpeas,80.4,48.7,52.4,5.91,DAP,36.0,972.0,Compost + Biofertilizer
jute,83.9,22.3,39.2,6.45,DAP,68.7,1854.9,Compost + Biofertilizer
orange,47.9,71.9,48.8,7.25,Urea,61.9,402.35,Farmyard Manure (FYM)
apple,68.1,31.1,85.0,7.2,DAP,57.8,1560.6,Neem Cake
mothbeans,80.3,45.5,73.2,6.11,DAP,32.8,885.6,Neem Cake
coconut,40.6,45.3,38.4,6.61,Urea,84.2,547.3,Vermicompost
jute,53.4,51.2,27.5,5.8,MOP,79.7,1354.9,Vermicompost
orange,35.2,52.5,66.4,6.8,Urea,66.0,429.0,Farmyard Manure (FYM)
cotton,55.4,52.3,60.4,6.9,Urea,48.9,317.85,Vermicompost
coconut,68.9,62.8,19.4,7.34,MOP,65.0,1105.0,Compost + Biofertilizer
muskmelon,77.5,69.1,26.3,7.73,MOP,48.3,821.1,Neem Cake
muskmelon,38.2,19.6,64.3,5.32,Urea,100.2,651.3,Vermicompost
jute,74.7,61.3,49.3,6.37,MOP,42.7,725.9,Poultry Manure
watermelon,59.1,14.0,81.4,5.7,DAP,83.0,2241.0,Farmyard Manure (FYM)
maize,69.5,16.4,64.3,6.7,DAP,65.7,1773.9,Neem Cake
blackgram,25.9,31.9,61.6,6.45,Urea,91.1,592.15,Farmyard Manure (FYM)
banana,34.3,42.9,38.9,5.97,Urea,92.8,603.2,Green Manure
lentil,24.8,74.7,23.1,7.0,Urea,95.8,622.7,Neem Cake
lentil,123.9,17.9,48.9,7.35,DAP,64.3,1736.1,Vermicompost
lentil,36.4,43.4,60.1,8.03,Urea,78.4,509.6,Compost + Biofertilizer
jute,66.3,29.5,71.5,7.02,DAP,63.3,1709.1,Vermicompost
maize,41.2,49.9,34.0,6.9,Urea,86.0,559.0,Poultry Manure
kidneybeans,53.9,56.2,62.9,5.54,Urea,46.7,303.55,Vermicompost
watermelon,70.5,44.5,13.2,6.98,MOP,91.1,1548.7,Green Manure
jute,21.5,45.7,92.8,4.85,Urea,85.1,553.15,Vermicompost
apple,32.3,4.5,46.6,7.16,DAP,129.7,3501.9,Farmyard Manure (FYM)
mothbeans,36.0,12.1,31.9,8.0,DAP,120.5,3253.5,Farmyard Manure (FYM)
cotton,58.6,70.5,26.9,6.66,MOP,71.9,1222.3,Compost + Biofertilizer
apple,71.4,0.0,73.3,6.64,DAP,75.0,2025.0,Vermicompost
papaya,22.0,36.7,60.9,5.71,Urea,95.8,622.7,Poultry Manure
pomegranate,99.6,67.7,50.3,7.34,MOP,26.3,447.1,Compost + Biofertilizer
papaya,47.3,46.2,35.8,6.71,Urea,81.1,527.15,Neem Cake
apple,54.9,44.4,47.7,5.94,Urea,64.9,421.85,Vermicompost
pomegranate,105.5,38.4,38.7,5.0,DAP,53.6,1447.2,Neem Cake
lentil,44.3,33.0,32.6,5.57,Urea,98.2,638.3,Compost + Biofertilizer
papaya,52.0,71.1,19.2,8.42,MOP,80.4,1366.8,Compost + Biofertilizer
mungbean,92.4,39.4,61.5,6.49,DAP,29.7,801.9,Compost + Biofertilizer
kidneybeans,56.8,45.1,45.1,6.28,Urea,64.1,416.65,Poultry Manure
kidneybeans,44.3,11.1,58.7,6.23,DAP,98.3,2654.1,Compost + Biofertilizer
orange,66.2,47.7,60.9,6.15,Urea,40.5,263.25,Farmyard Manure (FYM)
papaya,47.9,8.5,65.6,6.87,DAP,97.0,2619.0,Neem Cake
rice,69.3,11.5,60.1,6.66,DAP,70.1,1892.7,Poultry Manure
grapes,28.5,26.1,73.3,6.51,Urea,93.0,604.5,Poultry Manure
muskmelon,49.9,40.4,6.9,6.1,MOP,102.3,1739.1,Poultry Manure
pigeonpeas,27.1,61.3,59.0,7.37,Urea,70.9,460.85,Compost + Biofertilizer
muskmelon,128.2,48.0,69.4,6.06,DAP,29.0,783.0,Poultry Manure
pomegranate,53.8,64.5,32.9,4.99,MOP,70.3,1195.1,Compost + Biofertilizer
watermelon,102.4,48.7,41.9,6.58,MOP,47.3,804.1,Green Manure
kidneybeans,50.6,49.5,25.3,6.77,MOP,85.7,1456.9,Neem Cake
jute,92.5,52.4,0.0,7.27,MOP,82.9,1409.3,Compost + Biofertilizer
apple,86.3,45.2,64.3,6.29,DAP,31.3,845.1,Compost + Biofertilizer
maize,46.0,21.4,70.2,7.79,DAP,77.9,2103.3,Green Manure
coffee,39.9,49.0,62.8,5.67,Urea,57.1,371.15,Farmyard Manure (FYM)
cotton,51.9,41.3,10.3,6.44,MOP,105.7,1796.9,Farmyard Manure (FYM)
banana,60.2,39.2,33.6,6.55,MOP,75.9,1290.3,Farmyard Manure (FYM)
mango,91.7,21.2,67.0,6.18,DAP,68.5,1849.5,Neem Cake
pomegranate,58.4,62.0,42.8,7.21,Urea,50.8,330.2,Vermicompost
muskmelon,72.4,67.0,85.9,5.99,Urea,26.1,169.65,Green Manure
kidneybeans,54.0,55.8,53.0,7.84,Urea,60.7,394.55,Vermicompost
pigeonpeas,43.2,29.3,49.4,4.98,Urea,95.6,621.4,Neem Cake
cotton,52.7,43.7,32.3,5.72,MOP,85.2,1448.4,Compost + Biofertilizer
pomegranate,96.2,56.2,56.2,7.11,NPK 10-26-26,19.4,446.2,Farmyard Manure (FYM)
pigeonpeas,61.7,53.3,21.2,6.96,MOP,68.6,1166.2,Neem Cake
watermelon,56.1,28.9,70.3,5.23,DAP,61.8,1668.6,Farmyard Manure (FYM)
blackgram,49.9,51.9,30.3,6.11,Urea,81.8,531.7,Farmyard Manure (FYM)
coconut,111.5,91.7,16.8,7.45,MOP,58.8,999.6,Farmyard Manure (FYM)
blackgram,77.4,52.7,53.7,5.84,DAP,34.9,942.3,Compost + Biofertilizer
maize,78.0,29.0,71.8,6.24,DAP,51.2,1382.4,Neem Cake
orange,51.0,59.2,54.8,5.76,Urea,49.4,321.1,Compost + Biofertilizer
chickpea,73.9,41.1,29.9,7.07,MOP,58.4,992.8,Green Manure
muskmelon,82.0,16.1,36.7,5.97,DAP,84.2,2273.4,Neem Cake
pigeonpeas,102.6,25.4,40.9,7.04,DAP,62.9,1698.3,Compost + Biofertilizer
jute,47.3,38.9,49.5,6.99,Urea,81.7,531.05,Neem Cake
pomegranate,21.8,26.0,52.0,6.91,Urea,115.2,748.8,Green Manure
mango,25.5,56.9,52.6,6.65,Urea,77.8,505.7,Vermicompost
apple,37.8,60.5,23.5,7.04,Urea,93.0,604.5,Poultry Manure
lentil,48.0,27.9,56.8,6.17,DAP,88.1,2378.7,Compost + Biofertilizer
papaya,74.0,49.1,42.5,6.46,MOP,48.2,819.4,Vermicompost
coconut,43.1,66.7,35.8,5.24,Urea,69.5,451.75,Farmyard Manure (FYM)
jute,39.3,35.7,8.2,5.75,MOP,132.3,2249.1,Farmyard Manure (FYM)
apple,73.7,46.0,30.6,7.11,MOP,66.2,1125.4,Green Manure
jute,54.2,0.0,51.8,6.67,DAP,99.9,2697.3,Green Manure
coffee,123.8,53.5,70.6,5.99,DAP,32.6,880.2,Neem Cake
cotton,57.8,63.2,45.1,7.17,Urea,57.4,373.1,Neem Cake
maize,82.3,31.4,40.4,6.78,DAP,61.7,1665.9,Vermicompost
cotton,56.0,19.6,111.2,7.76,DAP,84.2,2273.4,Farmyard Manure (FYM)
jute,77.2,23.1,30.4,7.09,DAP,71.6,1933.2,Vermicompost
chickpea,120.1,44.4,17.7,6.63,MOP,68.2,1159.4,Poultry Manure
jute,94.3,29.9,7.2,6.91,MOP,85.8,1458.6,Vermicompost
apple,59.0,33.6,50.6,5.94,DAP,71.8,1938.6,Compost + Biofertilizer
rice,49.5,30.6,42.1,6.45,Urea,93.5,607.75,Green Manure
mothbeans,78.6,72.4,73.6,6.02,NPK 10-26-26,18.8,432.4,Green Manure
apple,13.8,47.7,31.8,5.57,Urea,117.2,761.8,Farmyard Manure (FYM)
mango,103.3,57.1,38.2,6.54,MOP,47.5,807.5,Neem Cake
papaya,37.6,38.0,47.7,6.69,Urea,92.3,599.95,Compost + Biofertilizer
lentil,24.1,57.2,12.3,6.07,Urea,115.4,750.1,Neem Cake
cotton,72.8,22.0,28.4,6.0,DAP,95.9,2589.3,Farmyard Manure (FYM)
grapes,45.6,49.3,69.3,5.96,Urea,55.8,362.7,Farmyard Manure (FYM)
watermelon,80.4,0.0,30.2,5.34,DAP,106.8,2883.6,Poultry Manure
mothbeans,63.6,61.0,34.0,6.52,MOP,61.5,1045.5,Compost + Biofertilizer
blackgram,69.8,54.0,76.7,6.49,Urea,35.9,233.35,Green Manure
muskmelon,45.7,35.5,48.6,6.84,Urea,91.4,594.1,Compost + Biofertilizer
apple,62.9,82.9,42.7,6.55,MOP,52.6,894.2,Poultry Manure
grapes,93.4,51.1,45.8,5.65,MOP,43.5,739.5,Farmyard Manure (FYM)
blackgram,71.1,49.8,46.9,7.52,MOP,59.0,1003.0,Vermicompost
orange,58.2,76.7,60.7,6.62,Urea,41.8,271.7,Poultry Manure
muskmelon,82.9,43.3,52.1,7.98,DAP,40.9,1104.3,Compost + Biofertilizer
muskmelon,72.1,48.6,71.8,5.83,DAP,35.0,945.0,Poultry Manure
apple,40.9,0.0,24.3,7.44,DAP,138.8,3747.6,Poultry Manure
cotton,61.5,59.9,22.1,6.74,MOP,73.7,1252.9,Compost + Biofertilizer
muskmelon,36.7,44.8,71.7,7.13,Urea,68.5,445.25,Neem Cake
chickpea,51.1,48.8,0.0,6.83,MOP,110.2,1873.4,Vermicompost
watermelon,38.8,58.4,74.3,7.18,Urea,73.1,475.15,Farmyard Manure (FYM)
cotton,56.6,30.3,34.1,6.61,DAP,85.8,2316.6,Compost + Biofertilizer
rice,46.5,34.0,42.5,5.93,Urea,86.1,559.65,Green Manure
orange,70.4,49.5,90.7,6.32,DAP,42.9,1158.3,Poultry Manure
grapes,68.7,76.9,8.2,7.7,MOP,64.0,1088.0,Farmyard Manure (FYM)
apple,50.2,63.0,19.0,4.3,MOP,81.3,1382.1,Compost + Biofertilizer
mango,42.1,29.4,58.1,6.76,Urea,79.8,518.7,Poultry Manure
kidneybeans,65.0,25.1,65.5,6.21,DAP,69.4,1873.8,Neem Cake
blackgram,40.5,46.3,46.1,5.56,Urea,86.4,561.6,Poultry Manure
pigeonpeas,49.1,73.0,0.0,8.13,MOP,97.8,1662.6,Compost + Biofertilizer
muskmelon,93.6,40.2,74.5,6.61,DAP,34.2,923.4,Neem Cake
coffee,55.5,77.5,35.8,6.57,Urea,68.0,442.0,Neem Cake
pomegranate,38.6,41.8,77.3,6.36,Urea,74.3,482.95,Compost + Biofertilizer
jute,26.6,70.4,50.9,5.85,Urea,70.4,457.6,Green Manure
banana,18.8,54.2,43.5,6.23,Urea,103.5,672.75,Farmyard Manure (FYM)
maize,43.5,35.9,23.8,6.19,Urea,113.2,735.8,Compost + Biofertilizer
banana,59.6,12.7,59.1,5.93,DAP,75.5,2038.5,Neem Cake
maize,69.3,59.5,29.7,7.09,MOP,52.4,890.8,Vermicompost
kidneybeans,40.8,68.6,31.8,6.67,Urea,74.8,486.2,Farmyard Manure (FYM)
watermelon,71.0,31.2,82.7,6.75,DAP,52.6,1420.2,Vermicompost
coconut,42.3,31.5,75.8,5.73,Urea,81.4,529.1,Poultry Manure
coffee,80.7,57.9,0.0,5.83,MOP,79.8,1356.6,Vermicompost
muskmelon,47.1,84.4,30.6,7.41,Urea,65.1,423.15,Farmyard Manure (FYM)
papaya,26.8,49.2,22.7,7.4,Urea,114.7,745.55,Vermicompost
pomegranate,76.6,35.6,78.0,6.43,DAP,42.5,1147.5,Neem Cake
blackgram,60.5,51.5,78.3,6.03,Urea,44.6,289.9,Vermicompost
kidneybeans,65.0,51.5,16.9,4.95,MOP,89.4,1519.8,Compost + Biofertilizer
coffee,17.3,68.6,27.7,7.74,Urea,101.3,658.45,Vermicompost
mango,57.7,27.5,27.3,6.2,MOP,99.9,1698.3,Green Manure
rice,62.9,51.9,93.8,5.84,Urea,50.4,327.6,Vermicompost
orange,35.8,74.6,32.0,5.89,Urea,85.1,553.15,Neem Cake
grapes,71.6,70.8,82.6,6.48,Urea,31.7,206.05,Farmyard Manure (FYM)
banana,62.2,34.0,34.6,6.91,DAP,82.3,2222.1,Neem Cake
coconut,40.7,35.1,35.8,7.39,Urea,93.7,609.05,Green Manure
cotton,31.4,18.3,38.6,6.28,Urea,118.3,768.95,Vermicompost
muskmelon,38.0,68.8,47.6,6.77,Urea,68.3,443.95,Vermicompost
grapes,69.6,18.4,70.0,6.62,DAP,60.8,1641.6,Green Manure
grapes,62.3,65.3,59.3,7.56,Urea,40.4,262.6,Neem Cake
lentil,56.1,39.5,21.6,7.09,MOP,96.6,1642.2,Poultry Manure
lentil,58.1,55.0,69.5,6.9,Urea,44.7,290.55,Vermicompost
mango,63.0,34.3,54.0,7.68,DAP,64.2,1733.4,Green Manure
pomegranate,36.3,37.5,22.8,6.29,Urea,112.3,729.95,Poultry Manure
banana,93.7,31.6,4.7,6.41,MOP,96.3,1637.1,Poultry Manure
pigeonpeas,61.4,40.1,42.9,5.78,DAP,80.0,2160.0,Vermicompost
watermelon,62.7,48.1,75.3,6.12,Urea,41.0,266.5,Green Manure
pigeonpeas,76.8,50.3,58.8,6.58,DAP,15.0,405.0,Green Manure
mango,83.7,62.0,51.9,5.72,MOP,26.8,455.6,Neem Cake
pomegranate,9.2,62.4,79.4,4.82,Urea,83.7,544.05,Compost + Biofertilizer
maize,71.9,36.4,34.9,6.37,MOP,66.8,1135.6,Green Manure
pigeonpeas,60.8,31.0,56.3,6.53,DAP,73.8,1992.6,Green Manure
mothbeans,37.5,30.5,25.2,7.04,Urea,125.2,813.8,Neem Cake
chickpea,0.0,36.7,16.0,5.77,Urea,157.6,1024.4,Green Manure
lentil,37.3,40.8,71.4,4.86,Urea,71.1,462.15,Green Manure
mothbeans,30.6,28.9,31.3,6.69,Urea,115.2,748.8,Compost + Biofertilizer
mango,64.5,28.2,49.3,7.36,DAP,72.0,1944.0,Farmyard Manure (FYM)
coffee,86.1,49.8,41.2,7.04,MOP,52.5,892.5,Compost + Biofertilizer
lentil,65.4,16.4,9.4,7.23,MOP,127.9,2174.3,Green Manure
watermelon,56.8,45.6,47.6,7.06,Urea,69.2,449.8,Vermicompost
papaya,84.0,35.3,54.4,7.06,DAP,45.2,1220.4,Green Manure
pomegranate,52.7,50.9,38.0,7.2,Urea,72.6,471.9,Compost + Biofertilizer
orange,73.0,43.3,49.5,5.4,DAP,46.6,1258.2,Neem Cake
lentil,71.3,50.3,57.2,6.59,DAP,40.9,1104.3,Compost + Biofertilizer
papaya,60.4,31.6,72.6,7.27,DAP,67.3,1817.1,Poultry Manure
watermelon,95.0,51.5,77.9,6.21,DAP,25.1,677.7,Green Manure
mothbeans,67.6,55.4,37.8,7.33,MOP,50.0,850.0,Neem Cake
pomegranate,15.8,0.0,47.1,5.96,Urea,150.1,975.65,Farmyard Manure (FYM)
mango,47.1,26.1,57.2,6.16,DAP,82.7,2232.9,Poultry Manure
pigeonpeas,39.5,53.9,92.4,6.6,Urea,61.8,401.7,Farmyard Manure (FYM)
pomegranate,31.0,64.6,9.7,6.52,MOP,108.7,1847.9,Green Manure
orange,70.6,35.0,8.8,5.45,MOP,93.2,1584.4,Compost + Biofertilizer
apple,45.6,13.9,57.4,6.98,DAP,86.2,2327.4,Vermicompost
mothbeans,80.9,48.9,92.2,6.13,DAP,20.1,542.7,Poultry Manure
lentil,83.9,45.3,33.9,6.48,MOP,61.7,1048.9,Compost + Biofertilizer
banana,71.9,42.7,34.3,6.0,MOP,67.2,1142.4,Vermicompost
banana,89.8,48.2,15.8,6.38,MOP,70.1,1191.7,Farmyard Manure (FYM)
pomegranate,25.5,36.8,18.6,6.16,Urea,124.3,807.95,Farmyard Manure (FYM)
pigeonpeas,63.0,57.6,43.5,6.96,Urea,47.2,306.8,Poultry Manure
coffee,90.5,27.1,36.5,6.0,DAP,65.0,1755.0,Compost + Biofertilizer
coconut,37.8,32.9,17.9,8.0,Urea,124.7,810.55,Vermicompost
mango,45.5,66.8,79.3,6.13,Urea,45.2,293.8,Green Manure
rice,74.9,19.6,38.9,6.98,DAP,87.5,2362.5,Neem Cake
grapes,90.9,65.8,24.9,6.63,MOP,46.0,782.0,Vermicompost
mothbeans,43.4,7.8,78.8,6.57,DAP,101.5,2740.5,Farmyard Manure (FYM)
coffee,58.3,63.4,77.4,6.49,Urea,34.5,224.25,Compost + Biofertilizer
kidneybeans,64.2,60.6,38.2,6.95,MOP,58.4,992.8,Poultry Manure
orange,39.7,0.0,56.2,6.5,DAP,117.5,3172.5,Neem Cake
coffee,101.5,21.0,17.9,7.43,MOP,98.4,1672.8,Farmyard Manure (FYM)
grapes,78.3,34.3,81.1,5.73,DAP,41.0,1107.0,Neem Cake
muskmelon,68.6,52.7,12.0,7.37,MOP,76.6,1302.2,Vermicompost
mango,102.9,38.4,58.3,7.4,DAP,48.8,1317.6,Neem Cake
coffee,76.4,106.8,39.5,7.12,MOP,38.7,657.9,Green Manure
mango,0.0,17.8,93.3,6.73,Urea,137.3,892.45,Vermicompost
apple,72.8,70.3,76.6,6.81,Urea,36.7,238.55,Compost + Biofertilizer
maize,67.9,56.3,35.6,6.41,MOP,56.3,957.1,Poultry Manure
lentil,58.8,55.0,60.9,6.28,Urea,35.0,227.5,Farmyard Manure (FYM)
cotton,65.4,35.8,31.8,7.24,MOP,82.2,1397.4,Neem Cake
jute,117.7,53.7,58.4,6.94,DAP,19.5,526.5,Compost + Biofertilizer
papaya,75.3,44.1,29.3,6.81,MOP,70.3,1195.1,Compost + Biofertilizer
mungbean,66.3,24.5,47.9,7.48,DAP,76.8,2073.6,Neem Cake
pigeonpeas,108.2,55.4,49.9,6.31,MOP,32.4,550.8,Farmyard Manure (FYM)
apple,55.8,68.8,21.4,4.77,MOP,73.2,1244.4,Farmyard Manure (FYM)
apple,0.0,33.9,34.1,7.35,Urea,139.7,908.05,Compost + Biofertilizer
coffee,79.7,0.0,44.6,5.76,DAP,91.4,2467.8,Poultry Manure
grapes,44.4,78.3,16.7,6.23,MOP,94.9,1613.3,Compost + Biofertilizer
lentil,82.9,58.2,52.4,5.73,MOP,24.7,419.9,Green Manure
coffee,84.8,27.4,60.6,7.64,DAP,50.5,1363.5,Compost + Biofertilizer
cotton,42.5,37.4,69.5,6.83,Urea,84.5,549.25,Poultry Manure
banana,64.3,36.0,60.9,6.77,DAP,50.4,1360.8,Compost + Biofertilizer
mothbeans,45.4,49.8,33.3,6.15,Urea,71.2,462.8,Farmyard Manure (FYM)
maize,51.2,39.8,50.1,6.45,Urea,73.4,477.1,Neem Cake
blackgram,50.8,71.3,46.0,6.32,Urea,56.5,367.25,Compost + Biofertilizer
orange,19.7,68.3,0.0,6.93,Urea,124.0,806.0,Green Manure
lentil,69.2,33.0,92.6,6.48,DAP,54.6,1474.2,Vermicompost
pomegranate,46.8,39.8,54.6,6.75,Urea,69.4,451.1,Compost + Biofertilizer
blackgram,46.8,40.5,14.6,6.89,MOP,113.1,1922.7,Poultry Manure
maize,75.6,85.5,58.9,5.88,NPK 10-26-26,31.3,719.9,Poultry Manure
cotton,70.9,34.0,0.0,5.56,MOP,111.1,1888.7,Vermicompost
lentil,43.9,28.7,14.6,6.07,MOP,112.6,1914.2,Vermicompost
kidneybeans,87.9,62.0,41.5,6.3,MOP,37.5,637.5,Green Manure
orange,24.9,36.7,15.1,7.3,Urea,129.6,842.4,Vermicompost
lentil,76.5,30.8,56.8,8.13,DAP,56.2,1517.4,Neem Cake
coconut,30.5,22.0,46.8,7.85,Urea,116.0,754.0,Green Manure
lentil,35.1,27.5,65.1,5.5,Urea,96.9,629.85,Farmyard Manure (FYM)
blackgram,57.8,13.6,65.9,7.28,DAP,86.1,2324.7,Farmyard Manure (FYM)
mungbean,52.5,19.3,38.3,7.3,DAP,103.0,2781.0,Neem Cake
cotton,71.2,50.4,0.0,5.85,MOP,101.3,1722.1,Farmyard Manure (FYM)
coconut,74.2,57.0,32.9,6.91,MOP,52.3,889.1,Compost + Biofertilizer
rice,45.4,23.8,74.1,7.15,DAP,81.5,2200.5,Neem Cake
kidneybeans,98.1,44.9,36.0,6.3,MOP,55.9,950.3,Green Manure
cotton,56.2,47.2,39.9,6.9,Urea,67.3,437.45,Vermicompost
pigeonpeas,73.5,32.1,37.0,6.88,DAP,75.3,2033.1,Neem Cake
grapes,78.6,24.2,96.9,5.64,DAP,55.7,1503.9,Neem Cake
kidneybeans,44.3,41.6,50.3,6.75,Urea,77.5,503.75,Poultry Manure
coconut,110.2,68.9,93.8,5.64,NPK 10-26-26,21.8,501.4,Poultry Manure
mango,78.5,39.4,37.7,6.12,MOP,55.5,943.5,Neem Cake
grapes,56.2,49.9,47.7,6.01,Urea,63.8,414.7,Neem Cake
rice,77.8,45.2,58.2,5.22,DAP,32.4,874.8,Vermicompost
chickpea,60.3,7.2,70.7,7.86,DAP,83.2,2246.4,Compost + Biofertilizer
rice,40.3,51.1,35.0,6.25,Urea,78.6,510.9,Poultry Manure
coconut,74.6,47.2,29.5,7.41,MOP,62.7,1065.9,Farmyard Manure (FYM)
chickpea,75.3,57.1,21.1,6.85,MOP,68.7,1167.9,Compost + Biofertilizer
rice,35.4,33.5,37.9,6.23,Urea,97.4,633.1,Neem Cake
kidneybeans,55.3,26.8,69.6,5.88,DAP,69.5,1876.5,Poultry Manure
mango,50.7,14.7,39.6,7.22,DAP,92.6,2500.2,Green Manure
pigeonpeas,2.4,55.9,38.1,5.62,Urea,109.7,713.05,Poultry Manure
mango,55.2,14.4,75.8,7.83,DAP,85.4,2305.8,Compost + Biofertilizer
maize,56.9,34.7,36.2,7.17,DAP,89.9,2427.3,Neem Cake
mothbeans,53.6,84.5,58.0,7.07,Urea,40.3,261.95,Poultry Manure
grapes,55.8,70.7,37.4,6.42,Urea,71.0,461.5,Compost + Biofertilizer
orange,64.2,55.2,33.8,5.71,MOP,66.1,1123.7,Farmyard Manure (FYM)
banana,52.1,43.0,21.0,6.3,MOP,80.9,1375.3,Vermicompost
apple,26.7,62.7,31.2,5.48,Urea,90.7,589.55,Vermicompost
muskmelon,101.3,37.0,61.4,7.01,DAP,39.0,1053.0,Neem Cake
mango,128.5,35.2,18.8,6.91,MOP,79.4,1349.8,Poultry Manure
mungbean,70.1,34.8,83.9,6.75,DAP,52.5,1417.5,Vermicompost
coffee,45.3,52.8,37.8,5.86,Urea,80.8,525.2,Compost + Biofertilizer
banana,28.5,80.7,62.6,7.73,Urea,57.3,372.45,Poultry Manure
mango,63.6,85.7,20.6,6.86,MOP,64.1,1089.7,Poultry Manure
jute,31.5,22.3,31.4,6.53,Urea,122.0,793.0,Vermicompost
mothbeans,44.1,42.6,45.3,7.96,Urea,81.1,527.15,Poultry Manure
muskmelon,94.0,26.2,80.5,5.41,DAP,53.4,1441.8,Poultry Manure
orange,90.2,60.2,88.9,7.1,NPK 10-26-26,17.1,393.3,Poultry Manure
jute,67.2,53.8,38.0,7.45,MOP,60.2,1023.4,Neem Cake
banana,29.7,63.0,90.0,5.89,Urea,61.6,400.4,Green Manure
lentil,28.7,43.9,48.8,6.34,Urea,96.7,628.55,Poultry Manure
apple,68.8,42.5,63.0,6.19,DAP,50.9,1374.3,Compost + Biofertilizer
blackgram,34.2,27.8,46.9,7.08,Urea,101.5,659.75,Vermicompost
mango,66.2,12.9,37.4,6.36,DAP,98.8,2667.6,Neem Cake
jute,57.7,52.2,47.0,6.87,Urea,58.5,380.25,Neem Cake
banana,95.9,66.8,35.5,6.39,MOP,44.2,751.4,Poultry Manure
papaya,40.6,35.8,0.0,5.28,MOP,134.4,2284.8,Compost + Biofertilizer
mungbean,73.9,57.0,48.0,5.95,MOP,34.3,583.1,Green Manure
coconut,86.6,76.6,55.3,6.0,NPK 19-19-19,20.7,496.8,Farmyard Manure (FYM)
pomegranate,45.9,61.4,39.0,7.0,Urea,71.7,466.05,Vermicompost
mothbeans,74.3,49.4,67.5,5.19,DAP,33.1,893.7,Neem Cake
cotton,63.6,56.5,49.3,6.6,Urea,37.0,240.5,Compost + Biofertilizer
maize,46.5,32.4,12.5,6.77,MOP,120.3,2045.1,Poultry Manure
rice,51.9,45.8,61.5,6.48,Urea,68.5,445.25,Poultry Manure
mungbean,42.1,24.2,33.9,6.72,Urea,108.6,705.9,Vermicompost
muskmelon,52.3,30.1,23.6,5.35,MOP,101.4,1723.8,Poultry Manure
apple,81.3,53.5,51.0,7.23,MOP,33.3,566.1,Compost + Biofertilizer
